採用音符           國際音標                 字例
=========================================================
f                  f                       花
j                  j                       也
k                  k                       家
kʷ                 kʷ                      瓜
kʰ                 kʰ                      卡
kʷʰ                kʷʰ                     跨
l                  l                       啦
m                  m                       媽
n                  n                       拿
ŋ                  ŋ                       牙
p                  p                       巴
pʰ                 pʰ                      趴
s                  s                       沙
t                  t                       打
tʰ                 tʰ                      他
ts                 t͡s                      渣
tsʰ                t͡sʰ                     差
w                  w                       娃
m                  m̩ (syllabic)            唔
ŋ̩                  ŋ̩ (syllabic)            五

a                  aː                      亞
ai                 aːi                     隘
au                 aːu                     拗
am                 aːm                     三
an                 aːn                     山
aŋ                 aːŋ                     橫
ap                 aːp                     插
at                 aːt                     達
ak                 aːk                     百
ɐi                 ɐi                      藝
ɐu                 ɐu                      歐
ɐm                 ɐm                      深
ɐn                 ɐn                      新
ɐŋ                 ɐŋ                      宏
ɐp                 ɐp                      輯
ɐt                 ɐt                      突
ɐk                 ɐk                      北
ɛ                  ɛː                      些
ei                 ei                      你
ɛu                 ɛːu                     掉 (tiːu6 → tɛu6)
ɛm                 ɛːm                     舐 (lɛːm2)
ɛn                 ɛːn                     靚 (colloquial， ŋ → n)
ɛŋ                 ɛːŋ                     靚
ɛp                 ɛːp                     夾 (kɛːp6)
ɛt                 ɛːt                     錫 (colloquial， k → t)
ɛk                 ɛːk                     錫
i                  iː                      意
iu                 iːu                     要
im                 iːm                     點
in                 iːn                     見
iŋ                 ɪŋ                      敬
ip                 iːp                     接
it                 iːt                     結
i                  ɪk                      色
ou                 ou                      奧
ɔ                  ɔː                      我
ɔy                 ɔːy                     哀
œ                  œː                      靴
œn                 œːn                     傷 (colloquial， ŋ → n)
œŋ                 œːŋ                     傷
œt                 œːt                     卓 (colloquial， k → t)
œk                 œːk                     卓
ɵ                  ɵ                       出
ɵy                 ɵy                      去
ɵn                 ɵn                      準
ɵt                 ɵt                      出
u                  uː                      夫
uy                 uːy                     會
un                 uːn                     歡
uŋ                 ʊŋ                      風
ut                 uːt                     沒
uk                 ʊk                      六
y                  yː                      書
yn                 yːn                     遠
yt                 yːt                     血

